1,Respondent,MainBranch,Country,DatabaseWorkedWith,DevType,LanguageWorkedWith,NEWCollabToolsWorkedWith,OpSys,PlatformWorkedWith,UndergradMajor
746,8711,I am a developer by profession,India,DynamoDB;Elasticsearch;MongoDB;MySQL,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Engineer, site reliability",HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL,"Confluence;Jira;Github;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",MacOS,Android;AWS;Docker;iOS;MacOS;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
747,8715,I am a developer by profession,India,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,"Developer, back-end",Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Linux,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
748,8719,I am a developer by profession,India,MySQL;SQLite,"Developer, full-stack;Product manager",Java;SQL,"Jira;Github;Google Suite (Docs, Meet, etc)",Windows,AWS;Linux;Windows,"Computer science, computer engineering, or software engineering"
749,8725,I am a developer by profession,India,Microsoft SQL Server,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Jira;Github;Gitlab;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Windows,Windows,"Information systems, information technology, or system administration"
750,8729,I am a developer by profession,India,DynamoDB;Firebase;MongoDB;MySQL,"Developer, front-end;Developer, full-stack;Developer, mobile;Engineer, site reliability",C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Python,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Windows,Android;Google Cloud Platform;Windows;WordPress,"Computer science, computer engineering, or software engineering"
751,8734,I am a developer by profession,India,DynamoDB;Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Senior executive/VP,C#;Dart;HTML/CSS;JavaScript;Objective-C;Swift,"Github;Slack;Google Suite (Docs, Meet, etc)",MacOS,Android;AWS;Heroku;iOS;WordPress,"Computer science, computer engineering, or software engineering"
752,8736,I am a developer by profession,India,MongoDB;MySQL;PostgreSQL,"Developer, full-stack",HTML/CSS;JavaScript;TypeScript,Jira;Github;Gitlab;Slack,Linux-based,Docker;Kubernetes,"Computer science, computer engineering, or software engineering"
753,8739,I am a student who is learning to code,India,Firebase;MongoDB;MySQL;PostgreSQL;SQLite,"Academic researcher;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",C;HTML/CSS;Java;JavaScript;SQL,Github,Linux-based,Android;Linux;Windows,"Information systems, information technology, or system administration"
754,8742,I am a developer by profession,India,MySQL,"Developer, full-stack;Developer, mobile;Developer, QA or test",Dart;HTML/CSS;JavaScript;PHP;SQL,Github,Windows,Android;iOS,"Computer science, computer engineering, or software engineering"
755,8743,I am a developer by profession,India,MariaDB;MySQL;Redis,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Jira;Github;Gitlab;Slack;Trello,Linux-based,Linux;MacOS;Raspberry Pi;Windows;WordPress,"Computer science, computer engineering, or software engineering"
756,8746,I am a developer by profession,India,Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,"Developer, full-stack;Developer, mobile",C;C++;Java;Kotlin;Objective-C,Github;Gitlab,MacOS,Android;iOS;Raspberry Pi,"Computer science, computer engineering, or software engineering"
757,8754,I am a developer by profession,India,Elasticsearch;MariaDB;MySQL;Redis,"Developer, full-stack;DevOps specialist",Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Confluence;Jira;Github;Gitlab;Microsoft Teams,Windows,Android;AWS;Docker;Kubernetes;Linux;Windows,"Computer science, computer engineering, or software engineering"
758,8758,I am a developer by profession,India,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,"Developer, QA or test",C;C#;C++;HTML/CSS;JavaScript;SQL,"Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
759,8761,I am a developer by profession,India,MySQL;Oracle,"Developer, back-end",Java;JavaScript;SQL,Github,Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
760,8772,I am a developer by profession,India,Couchbase;Firebase;MySQL;SQLite,"Developer, front-end",C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Github;Gitlab,MacOS,Android;Arduino;Linux;MacOS;Raspberry Pi;Windows,"Computer science, computer engineering, or software engineering"
761,8774,I am a developer by profession,India,MongoDB,"Developer, back-end;Developer, full-stack",Go;JavaScript,Gitlab;Slack,Linux-based,Linux,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
762,8781,I am a developer by profession,India,MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",JavaScript;PHP;TypeScript,Jira,Windows,Windows;WordPress,"Computer science, computer engineering, or software engineering"
763,8784,I am a developer by profession,India,Firebase;Microsoft SQL Server;MySQL,"Academic researcher;Developer, back-end;Developer, full-stack;Developer, mobile",C;Dart;HTML/CSS;Java;PHP;Python;SQL,Github;Gitlab;Slack;Microsoft Teams;Stack Overflow for Teams,Windows,Android;Arduino;AWS;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
764,8790,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile",Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL,Github,Windows,Android;AWS;Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
765,8791,I am a developer by profession,India,Firebase;SQLite,"Developer, back-end;Developer, mobile",Java;Kotlin,"Jira;Github;Gitlab;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,Android,"Computer science, computer engineering, or software engineering"
766,8797,I am a developer by profession,India,Elasticsearch;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, full-stack",C;C++;HTML/CSS;Java;Python;TypeScript,"Github;Gitlab;Google Suite (Docs, Meet, etc)",MacOS,Google Cloud Platform;Heroku;MacOS,Web development or web design
767,8799,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle,"Developer, back-end;Developer, desktop or enterprise applications",Java;SQL,Github;Stack Overflow for Teams,Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
768,8805,I am a developer by profession,India,Firebase;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C;C#;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL,"Github;Gitlab;Google Suite (Docs, Meet, etc)",Windows,Slack Apps and Integrations;WordPress,Web development or web design
769,8806,I am a developer by profession,India,MongoDB;MySQL,"Academic researcher;Designer;Developer, front-end;Developer, full-stack;Developer, mobile;Product manager",HTML/CSS;JavaScript;TypeScript,Github;Gitlab;Microsoft Teams;Microsoft Azure,Windows,AWS;Google Cloud Platform;iOS;Microsoft Azure;WordPress,"A business discipline (such as accounting, finance, marketing, etc.)"
770,8813,I am a developer by profession,India,Firebase;MongoDB;MySQL,"Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Product manager",Assembly;Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Jira;Github;Gitlab;Facebook Workplace;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Linux-based,AWS;Docker;Heroku;Linux;MacOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
771,8816,I am a developer by profession,India,Microsoft SQL Server,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,Jira;Github;Gitlab;Trello,Windows,Windows,"Computer science, computer engineering, or software engineering"
772,8817,I am a developer by profession,India,MySQL,"Developer, full-stack",HTML/CSS;Java;JavaScript;SQL,Gitlab,Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
773,8818,I code primarily as a hobby,India,MySQL,"Developer, back-end",Java,Jira;Github,Windows,Windows,"Computer science, computer engineering, or software engineering"
774,8820,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;SQLite,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile",C;C#;HTML/CSS;JavaScript;SQL,Github;Microsoft Teams;Microsoft Azure,Windows,Android;Arduino;Docker;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,"Computer science, computer engineering, or software engineering"
775,8822,I am a developer by profession,India,Elasticsearch;Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack",C#;C++;HTML/CSS;Java;JavaScript;SQL,Confluence;Jira;Slack,Linux-based,Linux,"Computer science, computer engineering, or software engineering"
776,8825,I am a student who is learning to code,India,MySQL;Oracle;SQLite,"Academic researcher;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test",HTML/CSS;Java;JavaScript;SQL,Github;Slack;Stack Overflow for Teams,Windows,Windows,"Computer science, computer engineering, or software engineering"
777,8828,I am a developer by profession,India,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,Github,Windows,Microsoft Azure;Windows;WordPress,"Computer science, computer engineering, or software engineering"
778,8830,I am a developer by profession,India,MySQL;Oracle;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,Jira;Github,Linux-based,Linux;Windows,"Computer science, computer engineering, or software engineering"
779,8843,I am a developer by profession,India,Firebase;SQLite,"Developer, mobile",Dart;Java;SQL,Github;Stack Overflow for Teams,Windows,Android,"Computer science, computer engineering, or software engineering"
780,8852,I am a developer by profession,India,Firebase;SQLite,"Developer, mobile",Swift,Jira;Github;Gitlab;Slack,MacOS,iOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
781,8854,I am a developer by profession,India,MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",JavaScript;Python,Confluence;Jira;Github;Gitlab;Slack,MacOS,Linux;MacOS,"Computer science, computer engineering, or software engineering"
782,8855,I am a developer by profession,India,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;Java;JavaScript;SQL;TypeScript,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",MacOS,AWS;Heroku;Linux;MacOS;Windows,Web development or web design
783,8857,I am a developer by profession,India,Elasticsearch;Firebase;Microsoft SQL Server;MySQL;Oracle,"Data scientist or machine learning specialist;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;R;Ruby;Scala;TypeScript;VBA,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",MacOS,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;MacOS;Raspberry Pi,"Computer science, computer engineering, or software engineering"
784,8863,I am a developer by profession,India,Couchbase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, full-stack",JavaScript;Python,Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure,Linux-based,AWS;Docker;Heroku,"Computer science, computer engineering, or software engineering"
785,8865,I am a developer by profession,India,MariaDB;MySQL;SQLite,"Database administrator;Developer, back-end",C++;HTML/CSS;JavaScript;PHP;Python,Github,Windows,Android;Arduino;AWS;WordPress,"Computer science, computer engineering, or software engineering"
786,8869,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;SQLite,"Developer, mobile",C++;HTML/CSS;Java,Github;Stack Overflow for Teams,Linux-based,Android;WordPress,"Computer science, computer engineering, or software engineering"
787,8874,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Engineer, data",Bash/Shell/PowerShell;Java;JavaScript;Python;SQL;VBA,Github,Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
788,8877,I am a developer by profession,India,Elasticsearch;MariaDB;MySQL;PostgreSQL,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;System administrator",Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL,Github;Gitlab;Microsoft Teams,Linux-based,Docker;Linux;Windows,"Computer science, computer engineering, or software engineering"
789,8883,I am a developer by profession,India,SQLite,"Developer, front-end;Developer, mobile;Engineer, data",Java,Microsoft Azure,Windows,Android,"Computer science, computer engineering, or software engineering"
790,8892,I am a developer by profession,India,MySQL,"Data scientist or machine learning specialist;Developer, back-end",Java,Confluence;Jira;Github;Gitlab;Slack,MacOS,Docker;Kubernetes;MacOS,"Computer science, computer engineering, or software engineering"
791,8894,I am a developer by profession,India,Firebase;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,"Developer, full-stack",C#;HTML/CSS;JavaScript;PHP;Python;SQL,Github;Gitlab,Windows,Android;AWS;Google Cloud Platform;iOS;Windows,"Computer science, computer engineering, or software engineering"
792,8895,I am a developer by profession,India,PostgreSQL,"Developer, full-stack",HTML/CSS;Java;JavaScript;SQL,Slack;Stack Overflow for Teams,Linux-based,Linux;Windows,"Computer science, computer engineering, or software engineering"
